Company Id,Upline station,Arrival Station,Scheduled Arvl Datetime,Sch Arv Date,Sch Arv Time,Gate,Departure Station,Downline Arrival Station,Scheduled Dept Datetime,Sch Dept Date,Sch Dept Time,Fleet,Tail Number
OO,DEN,RIC,2019-08-11 23:29:00,2019-08-11,23:29:00,B7,RIC,DEN,2019-08-12 06:15:00,2019-08-12,06:15:00,ERJ-175,N134SY
C5,EWR,RIC,2019-08-25 19:55:00,2019-08-25,19:55:00,B1,RIC,IAD,2019-08-25 20:25:00,2019-08-25,20:25:00,ERJ-145,N11176
EV,EWR,RIC,2019-08-26 16:50:00,2019-08-26,16:50:00,B3,RIC,EWR,2019-08-26 17:45:00,2019-08-26,17:45:00,ERJ-145,N36915
EV,EWR,RIC,2019-08-18 12:57:00,2019-08-18,12:57:00,B1,RIC,ORD,2019-08-18 13:30:00,2019-08-18,13:30:00,ERJ-145,N13903
UA,ORD,RIC,2019-08-27 21:12:00,2019-08-27,21:12:00,B3,RIC,ORD,2019-08-28 07:00:00,2019-08-28,07:00:00,A319-100,N895UA
YV,IAH,RIC,2019-08-27 22:18:00,2019-08-27,22:18:00,B4,RIC,IAH,2019-08-28 06:05:00,2019-08-28,06:05:00,ERJ-175,N89313
C5,IAD,RIC,2019-08-27 13:43:00,2019-08-27,13:43:00,B4,RIC,EWR,2019-08-27 14:25:00,2019-08-27,14:25:00,ERJ-145,N16183
OO,ORD,RIC,2019-08-27 10:05:00,2019-08-27,10:05:00,B3,RIC,ORD,2019-08-27 10:35:00,2019-08-27,10:35:00,CRJ-200,N946SW
C5,EWR,RIC,2019-08-31 19:55:00,2019-08-31,19:55:00,B4,RIC,IAD,2019-08-31 20:25:00,2019-08-31,20:25:00,ERJ-145,N11176
OO,DEN,RIC,2019-08-24 23:20:00,2019-08-24,23:20:00,B1,RIC,DEN,2019-08-25 06:15:00,2019-08-25,06:15:00,ERJ-175,N109SY
C5,EWR,RIC,2019-08-30 10:30:00,2019-08-30,10:30:00,B4,RIC,EWR,2019-08-30 11:00:00,2019-08-30,11:00:00,ERJ-145,N16183
OO,DEN,RIC,2019-08-21 23:20:00,2019-08-21,23:20:00,B1,RIC,DEN,2019-08-22 06:15:00,2019-08-22,06:15:00,ERJ-175,N200SY
OO,DEN,RIC,2019-08-19 23:29:00,2019-08-19,23:29:00,B1,RIC,DEN,2019-08-20 06:15:00,2019-08-20,06:15:00,ERJ-175,N125SY
C5,IAD,RIC,2019-08-28 13:43:00,2019-08-28,13:43:00,B3,RIC,EWR,2019-08-28 14:25:00,2019-08-28,14:25:00,ERJ-145,N14168
YV,IAH,RIC,2019-08-28 22:18:00,2019-08-28,22:18:00,B7,RIC,IAH,2019-08-29 06:05:00,2019-08-29,06:05:00,ERJ-175,N87345
ZW,IAD,RIC,2019-08-24 18:15:00,2019-08-24,18:15:00,B4,RIC,ORD,2019-08-24 18:45:00,2019-08-24,18:45:00,CRJ-200,N461AW
C5,IAD,RIC,2019-08-24 13:43:00,2019-08-24,13:43:00,B1,RIC,EWR,2019-08-24 14:25:00,2019-08-24,14:25:00,ERJ-145,N11194
ZW,ORD,RIC,2019-08-30 15:05:00,2019-08-30,15:05:00,B4,RIC,IAD,2019-08-30 15:35:00,2019-08-30,15:35:00,CRJ-200,N443AW
ZW,ORD,RIC,2019-08-27 15:05:00,2019-08-27,15:05:00,B1,RIC,IAD,2019-08-27 15:35:00,2019-08-27,15:35:00,CRJ-200,N457AW
OO,ORD,RIC,2019-08-25 10:05:00,2019-08-25,10:05:00,B3,RIC,ORD,2019-08-25 10:35:00,2019-08-25,10:35:00,CRJ-200,N954SW
C5,EWR,RIC,2019-08-29 18:45:00,2019-08-29,18:45:00,B1,RIC,EWR,2019-08-29 19:15:00,2019-08-29,19:15:00,ERJ-145,N27190
C5,EWR,RIC,2019-08-16 10:10:00,2019-08-16,10:10:00,B1,RIC,EWR,2019-08-16 11:00:00,2019-08-16,11:00:00,ERJ-145,N16183
YV,IAH,RIC,2019-08-31 16:05:00,2019-08-31,16:05:00,B4,RIC,IAH,2019-08-31 16:45:00,2019-08-31,16:45:00,ERJ-175,N87345
UA,ORD,RIC,2019-08-20 21:12:00,2019-08-20,21:12:00,B3,RIC,ORD,2019-08-21 07:00:00,2019-08-21,07:00:00,A319-100,N817UA
YV,IAH,RIC,2019-08-26 22:18:00,2019-08-26,22:18:00,B4,RIC,IAH,2019-08-27 06:05:00,2019-08-27,06:05:00,ERJ-175,N93305
C5,EWR,RIC,2019-08-20 10:30:00,2019-08-20,10:30:00,B4,RIC,EWR,2019-08-20 11:00:00,2019-08-20,11:00:00,ERJ-145,N12157
OO,DEN,RIC,2019-08-27 14:01:00,2019-08-27,14:01:00,B3,RIC,DEN,2019-08-27 15:45:00,2019-08-27,15:45:00,ERJ-175,N131SY
ZW,IAD,RIC,2019-08-23 18:15:00,2019-08-23,18:15:00,B1,RIC,ORD,2019-08-23 18:45:00,2019-08-23,18:45:00,CRJ-200,N442AW
ZW,IAD,RIC,2019-08-26 18:15:00,2019-08-26,18:15:00,B3,RIC,ORD,2019-08-26 18:45:00,2019-08-26,18:45:00,CRJ-200,N423AW
YV,IAD,RIC,2019-08-28 09:43:00,2019-08-28,09:43:00,B1,RIC,IAD,2019-08-28 10:45:00,2019-08-28,10:45:00,CRJ-700,N502MJ
ZW,IAD,RIC,2019-08-20 18:15:00,2019-08-20,18:15:00,B1,RIC,ORD,2019-08-20 18:45:00,2019-08-20,18:45:00,CRJ-200,N427ZW
YV,IAD,RIC,2019-08-30 09:43:00,2019-08-30,09:43:00,B1,RIC,IAD,2019-08-30 10:45:00,2019-08-30,10:45:00,CRJ-700,N503MJ
YV,IAH,RIC,2019-08-21 16:05:00,2019-08-21,16:05:00,B4,RIC,IAH,2019-08-21 16:45:00,2019-08-21,16:45:00,ERJ-175,N88310
C5,IAD,RIC,2019-08-28 23:00:00,2019-08-28,23:00:00,B2,RIC,IAD,2019-08-29 06:40:00,2019-08-29,06:40:00,ERJ-145,N13161
OO,DEN,RIC,2019-08-16 23:29:00,2019-08-16,23:29:00,B1,RIC,DEN,2019-08-17 06:15:00,2019-08-17,06:15:00,ERJ-175,N209SY
EV,EWR,RIC,2019-08-29 16:50:00,2019-08-29,16:50:00,B4,RIC,EWR,2019-08-29 17:45:00,2019-08-29,17:45:00,ERJ-145,N11165
UA,ORD,RIC,2019-08-26 21:12:00,2019-08-26,21:12:00,B3,RIC,ORD,2019-08-27 06:50:00,2019-08-27,06:50:00,B737-800,N37274
OO,ORD,RIC,2019-08-28 10:05:00,2019-08-28,10:05:00,B3,RIC,ORD,2019-08-28 10:35:00,2019-08-28,10:35:00,CRJ-700,N786SK
ZW,ORD,RIC,2019-08-29 15:05:00,2019-08-29,15:05:00,B4,RIC,IAD,2019-08-29 15:35:00,2019-08-29,15:35:00,CRJ-200,N413AW
C5,IAD,RIC,2019-08-29 13:43:00,2019-08-29,13:43:00,B1,RIC,EWR,2019-08-29 14:25:00,2019-08-29,14:25:00,ERJ-145,N11193
YV,IAH,RIC,2019-08-23 16:05:00,2019-08-23,16:05:00,B1,RIC,IAH,2019-08-23 16:45:00,2019-08-23,16:45:00,ERJ-175,N80343
EV,EWR,RIC,2019-08-22 16:50:00,2019-08-22,16:50:00,B1,RIC,EWR,2019-08-22 17:45:00,2019-08-22,17:45:00,ERJ-145,N12201
YV,IAH,RIC,2019-08-29 16:05:00,2019-08-29,16:05:00,B1,RIC,IAH,2019-08-29 16:45:00,2019-08-29,16:45:00,ERJ-175,N89308
OO,DEN,RIC,2019-08-31 14:01:00,2019-08-31,14:01:00,B1,RIC,DEN,2019-08-31 15:45:00,2019-08-31,15:45:00,ERJ-175,N140SY
EV,ORD,RIC,2019-08-23 00:33:00,2019-08-23,00:33:00,B2,RIC,EWR,2019-08-23 05:40:00,2019-08-23,05:40:00,ERJ-145,N11547
C5,EWR,RIC,2019-08-25 18:45:00,2019-08-25,18:45:00,B4,RIC,EWR,2019-08-25 19:15:00,2019-08-25,19:15:00,ERJ-145,N14162
OO,ORD,RIC,2019-08-16 10:00:00,2019-08-16,10:00:00,B3,RIC,ORD,2019-08-16 10:30:00,2019-08-16,10:30:00,CRJ-200,N871AS
C5,EWR,RIC,2019-08-24 19:55:00,2019-08-24,19:55:00,B4,RIC,IAD,2019-08-24 20:25:00,2019-08-24,20:25:00,ERJ-145,N11191
UA,ORD,RIC,2019-08-30 21:12:00,2019-08-30,21:12:00,B3,RIC,ORD,2019-08-31 07:00:00,2019-08-31,07:00:00,A319-100,N853UA
OO,DEN,RIC,2019-08-20 14:01:00,2019-08-20,14:01:00,B3,RIC,DEN,2019-08-20 15:45:00,2019-08-20,15:45:00,ERJ-175,N138SY
OO,DEN,RIC,2019-08-27 23:20:00,2019-08-27,23:20:00,B1,RIC,DEN,2019-08-28 06:15:00,2019-08-28,06:15:00,ERJ-175,N109SY
EV,EWR,RIC,2019-08-30 16:50:00,2019-08-30,16:50:00,B4,RIC,EWR,2019-08-30 17:45:00,2019-08-30,17:45:00,ERJ-145,N14158
